# Fine-grained East Asian / Southeast Asian population-to-group mapping.
# Used in hierarchical pass 2 when EA+SEA combined > 15%.
# Dai and KHV moved back to EastAsian (overlap heavily with southern Han in PCA).
# Only Cambodian and Lahu remain as SoutheastAsian.
Pop	Group
Han	EastAsian
NorthernHan	EastAsian
CHB	EastAsian
CHS	EastAsian
CDX	EastAsian
JPT	EastAsian
KHV	EastAsian
Dai	EastAsian
She	EastAsian
Tujia	EastAsian
Miao	EastAsian
Naxi	EastAsian
Yi	EastAsian
Tu	EastAsian
Xibo	EastAsian
Hezhen	EastAsian
Daur	EastAsian
Oroqen	EastAsian
Mongola	EastAsian
Yakut	EastAsian
Japanese	EastAsian
Cambodian	SoutheastAsian
Lahu	SoutheastAsian
